,Feature,Importance,Percentage
0,bitter_high_int,0.11254425964162676,11.25
1,astring_high_int,0.10735515648171651,10.74
2,score_lowhigh_capsadstr1,0.08264834331371389,8.26
3,salty_low_int,0.07799716828618189,7.8
4,sweet_high_int,0.06410709351686476,6.41
5,bitter_low_int,0.0619829520495154,6.2
6,sweet_low_int,0.06012106727199022,6.01
7,sour_high_int,0.057693672664173294,5.77
8,salty_high_int,0.04865727706234254,4.87
9,sour_low_int,0.04341311158045802,4.34
10,hot_high_int,0.043093041269256165,4.31
11,hot_low_int,0.030174809863177488,3.02
12,sweet_low_taste_correct,0.029452357662337923,2.95
13,astring_low_int,0.026448769145177145,2.64
14,bitter_low_taste_correct,0.02001609491905642,2.0
15,bitter_high_taste_correct,0.019866505857351346,1.99
16,hot_low_taste_correct,0.018395871367386803,1.84
17,sweet_high_taste_correct,0.017259988178014055,1.73
18,depression,0.01588502859732477,1.59
19,sour_low_taste_correct,0.011843257350043998,1.18
20,Age,0.009782423768380608,0.98
21,astring_high_taste_correct,0.007640411546487333,0.76
22,BMI,0.006841068371854708,0.68
23,sex_f1_m2_2.0,0.004900187756151784,0.49
24,sex_f1_m2_1.0,0.004734659459229072,0.47
25,astring_low_taste_correct,0.003949067006529772,0.39
26,sour_high_taste_correct,0.0035710760752623886,0.36
27,hot_high_taste_correct,0.0035270691571244795,0.35
28,liketoeatspicy,0.0022541941145392454,0.23
29,salty_high_taste_correct,0.0020299343502035846,0.2
30,salty_low_taste_correct,0.0018140823165275562,0.18
31,Group_cotnrol1_patient2,0.0,0.0
