,Feature,Importance,Percentage
0,salty_low_int,0.17613405423678355,17.61
1,astring_high_int,0.08018093415102434,8.02
2,score_lowhigh_capsadstr1,0.07949095725722058,7.95
3,bitter_low_int,0.0761544326117606,7.62
4,hot_low_int,0.06705109053148697,6.71
5,hot_low_taste_correct,0.06433488658733946,6.43
6,sweet_low_int,0.05837580813954158,5.84
7,sour_high_int,0.057282672133579404,5.73
8,bitter_high_int,0.051863224595397064,5.19
9,astring_low_int,0.04780306241398257,4.78
10,salty_high_int,0.044441606369577655,4.44
11,sweet_high_int,0.040814932433014886,4.08
12,hot_high_int,0.02940102220917224,2.94
13,sour_low_int,0.02593524010139668,2.59
14,depression,0.012748267808395072,1.27
15,bitter_low_taste_correct,0.012456557181335284,1.25
16,Age,0.012176290418408012,1.22
17,sweet_low_taste_correct,0.01198341752943046,1.2
18,astring_high_taste_correct,0.009769957998286113,0.98
19,bitter_high_taste_correct,0.007444110285025019,0.74
20,astring_low_taste_correct,0.007104592067561109,0.71
21,BMI,0.005381173459344598,0.54
22,Group_cotnrol1_patient2,0.0034826116824369156,0.35
23,sex_f1_m2_1.0,0.0033279133669913627,0.33
24,sour_low_taste_correct,0.003048221501050535,0.3
25,sex_f1_m2_2.0,0.0020302976635771667,0.2
26,liketoeatspicy,0.0018828996875817432,0.19
27,salty_high_taste_correct,0.0018272755661070006,0.18
28,sweet_high_taste_correct,0.0017929888684210553,0.18
29,salty_low_taste_correct,0.001621504147813463,0.16
30,sour_high_taste_correct,0.0015034520244291542,0.15
31,hot_high_taste_correct,0.0011545449725283968,0.12
